,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
163,Middle Tennessee,28,15,13,.536,-2.40,-2.40,10,8,,,,,2143,2121,,,746,1613,.462,193,533,.362,458,625,.733,338,939,484,278,101,461,560
164,Milwaukee,29,15,14,.517,2.17,1.67,6,8,,,,,2050,2002,,,656,1578,.416,256,701,.365,482,658,.733,318,921,389,182,27,356,512
165,Minnesota,28,12,16,.429,6.77,9.62,4,12,,,,,1965,2045,,,738,1624,.454,118,380,.311,371,585,.634,385,1068,449,186,151,478,531
166,Mississippi State,30,14,16,.467,7.12,5.29,5,11,,,,,2168,2113,,,803,1772,.453,200,593,.337,362,541,.669,404,1113,385,184,105,456,521
167,Mississippi Valley State,27,6,21,.222,-16.61,-8.51,7,11,,,,,1973,2200,,,727,1966,.370,213,700,.304,306,497,.616,524,1165,296,230,151,454,610
168,Mississippi,33,19,14,.576,7.86,6.52,5,11,,,,,2355,2271,,,827,1873,.442,196,588,.333,505,778,.649,438,1237,454,244,122,546,703
169,Missouri-Kansas City,29,16,13,.552,-4.23,-5.08,10,6,,,,,2126,2005,,,765,1566,.489,126,357,.353,470,642,.732,302,1015,461,223,96,525,563
170,Missouri State,34,23,11,.676,7.52,4.07,13,5,,,,,2257,2140,,,800,1788,.447,220,585,.376,437,650,.672,379,1272,462,261,136,,
171,Missouri NCAA,31,18,13,.581,12.55,8.22,10,6,,,,,2302,2168,,,771,1822,.423,291,804,.362,469,661,.710,335,1039,426,275,61,412,601
172,Monmouth,28,12,16,.429,-10.29,-7.51,9,9,,,,,1624,1702,,,564,1368,.412,173,535,.323,323,484,.667,281,854,344,216,70,453,
173,Montana State,29,12,17,.414,-3.92,0.73,4,12,,,,,2223,2242,,,763,1685,.453,216,573,.377,481,609,.790,251,943,527,169,58,402,496
174,Montana,28,17,11,.607,2.40,0.47,12,4,,,,,2026,1942,,,678,1475,.460,197,493,.400,473,659,.718,314,1016,428,173,70,436,493
175,Morehead State,27,9,18,.333,-7.74,-3.15,4,14,,,,,2042,2095,,,714,1514,.472,224,560,.400,390,515,.757,256,823,459,208,36,398,467
176,Morgan State,29,5,24,.172,-21.59,-8.97,5,13,,,,,1884,2250,,,680,1659,.410,141,451,.313,383,599,.639,364,1054,328,212,87,560,629
177,Mount St. Mary's,29,9,20,.310,-15.01,-6.18,7,11,,,,,1883,2139,,,690,1727,.400,181,615,.294,322,464,.694,359,1112,337,189,82,,
178,Murray State,32,23,9,.719,3.42,-2.39,14,4,,,,,2542,2335,,,905,1957,.462,200,623,.321,532,722,.737,456,1219,455,224,87,464,545
179,Navy,29,23,6,.793,2.31,-8.17,11,1,,,,,2203,1848,,,771,1695,.455,104,303,.343,557,862,.646,459,1234,429,352,198,585,583
180,Nebraska,30,11,19,.367,1.17,6.83,4,12,,,,,2050,2220,,,737,1729,.426,144,434,.332,432,700,.617,450,1075,406,222,145,529,574
181,Nevada-Las Vegas NCAA,31,23,8,.742,9.74,2.52,10,4,,,,,2548,2324,,,929,2043,.455,167,528,.316,523,768,.681,463,1302,623,263,139,549,626
182,Nevada,29,9,20,.310,-4.29,1.50,6,10,,,,,1873,2023,,,624,1660,.376,163,514,.317,462,634,.729,394,1053,321,160,51,399,593
183,New Hampshire,28,3,25,.107,-25.48,-6.09,2,16,,,,,1811,2354,,,630,1758,.358,198,639,.310,353,522,.676,379,1002,333,222,101,510,563
184,New Mexico State,32,22,10,.688,6.25,2.00,11,5,,,,,2265,2096,,,820,1853,.443,204,541,.377,421,660,.638,452,1198,404,223,71,437,621
185,New Mexico,32,18,14,.563,7.96,4.18,9,5,,,,,2323,2185,,,811,1782,.455,155,459,.338,546,769,.710,359,1151,362,232,145,464,667
186,New Orleans,29,11,18,.379,-4.82,-3.06,6,10,,,,,1738,1789,,,610,1407,.434,155,407,.381,363,507,.716,,890,364,194,82,454,499
187,Niagara,29,17,12,.586,-6.55,-5.38,10,8,,,,,2241,2275,,,753,1796,.419,229,685,.334,506,703,.720,409,1065,406,233,117,464,606
188,Nicholls State,28,11,17,.393,-10.04,-4.50,8,10,,,,,1769,1846,,,658,1652,.398,123,368,.334,330,556,.594,414,994,341,273,71,456,527
189,Norfolk State,28,12,16,.429,-16.20,-11.37,11,7,,,,,2128,2263,,,777,1860,.418,144,480,.300,430,698,.616,434,1068,319,243,91,437,549
190,North Carolina-Asheville,30,11,19,.367,-11.53,-3.66,7,7,,,,,2074,2281,,,686,1578,.435,174,439,.396,528,701,.753,329,1080,419,223,114,600,565
191,North Carolina A&T,29,14,15,.483,-11.83,-12.15,11,8,,,,,2187,2187,,,786,1802,.436,129,395,.327,486,725,.670,403,988,381,264,75,531,403
192,North Carolina-Greensboro,28,15,13,.536,-7.71,-6.15,9,7,,,,,2007,2024,,,706,1549,.456,139,380,.366,456,618,.738,347,1027,379,176,87,463,501
193,North Carolina State,34,20,14,.588,12.96,7.49,6,10,,,,,2347,2161,,,821,1920,.428,187,560,.334,518,789,.657,453,1234,431,311,156,540,605
194,North Carolina-Wilmington NCAA,31,18,13,.581,2.41,-0.24,8,8,,,,,1863,1781,,,667,1609,.415,176,473,.372,353,561,.629,323,1075,375,221,67,566,566
195,North Carolina NCAA,36,22,14,.611,17.00,11.80,9,7,,,,,2715,2528,,,1014,2066,.491,169,492,.343,518,740,.700,436,1394,609,210,178,536,580
196,North Texas,27,7,20,.259,-10.85,2.07,5,11,,,,,2040,2389,,,754,1810,.417,176,568,.310,356,535,.665,399,1034,394,212,93,451,490
197,Northeastern,28,7,21,.250,-14.45,-8.41,5,13,,,,,1855,2024,,,714,1599,.447,117,348,.336,310,448,.692,324,911,344,237,114,478,565
198,Northern Arizona NCAA,31,20,11,.645,4.34,1.37,11,5,,,,,2280,2134,,,775,1626,.477,263,673,.391,467,622,.751,295,1101,493,120,96,514,574
199,Northern Illinois,28,13,15,.464,1.00,1.56,7,11,,,,,1943,1919,,,707,1699,.416,153,451,.339,376,546,.689,408,1078,368,220,78,454,561
200,Northern Iowa,29,14,15,.483,0.93,2.51,7,11,,,,,1798,1844,,,624,1425,.438,123,362,.340,427,598,.714,254,921,326,174,89,422,502
201,Northwestern State,30,17,13,.567,-7.88,-6.06,11,7,,,,,1990,2003,,,719,1775,.405,147,487,.302,405,624,.649,425,1105,422,315,111,506,625
202,Northwestern,30,5,25,.167,-4.86,8.14,0,16,,,,,1545,1935,,,525,1426,.368,161,504,.319,334,483,.692,245,892,367,146,83,484,534
203,Notre Dame,37,22,15,.595,9.57,6.38,8,8,,,,,2636,2518,,,896,1921,.466,287,752,.382,557,751,.742,385,1322,643,287,110,656,626
204,Oakland,30,13,17,.433,-4.74,-1.32,11,5,,,,,2163,2254,,,703,1719,.409,271,805,.337,486,654,.743,312,1004,442,224,52,486,568
205,Ohio State NCAA,30,23,7,.767,17.55,6.55,13,3,,,,,2182,1852,,,797,1748,.456,145,456,.318,443,629,.704,381,1126,387,194,200,377,521
206,Ohio,33,20,13,.606,7.50,3.53,11,7,,,,,2386,2255,,,782,1804,.433,221,647,.342,601,895,.672,441,1280,517,243,103,565,694
207,Oklahoma State NCAA,34,27,7,.794,20.01,6.59,12,4,,,,,2620,2117,,,933,1946,.479,216,559,.386,538,768,.701,393,1311,642,260,122,484,578
208,Oklahoma NCAA,34,27,7,.794,19.25,6.63,12,4,,,,,2546,2117,,,917,2004,.458,263,687,.383,449,632,.710,443,1254,525,241,89,435,643
209,Old Dominion,30,11,19,.367,-3.63,-1.90,6,10,,,,,1942,1994,,,681,1572,.433,120,390,.308,460,689,.668,352,1048,383,214,100,452,539
210,Oral Roberts,30,13,17,.433,-6.09,-4.23,8,8,,,,,2169,2193,,,758,1728,.439,239,651,.367,414,621,.667,298,1011,467,199,54,452,554
211,Oregon State,29,13,16,.448,6.71,8.74,5,13,,,,,2005,2016,,,708,1597,.443,206,571,.361,383,583,.657,322,1004,447,221,84,476,608
212,Oregon NCAA,30,22,8,.733,14.74,8.53,13,5,,,,,2269,2047,,,808,1722,.469,172,552,.312,481,646,.745,336,1037,491,206,88,469,592
213,Pacific,29,11,18,.379,-3.35,-0.60,6,10,,,,,1809,1882,,,622,1503,.414,173,567,.305,392,573,.684,330,1015,361,120,38,395,520
214,Penn State,35,19,16,.543,10.08,8.82,5,11,,,,,2572,2528,,,879,1994,.441,235,676,.348,579,811,.714,403,1222,526,279,105,536,636
215,Pennsylvania NCAA,29,21,8,.724,4.00,-2.89,14,0,,,,,1942,1742,,,707,1565,.452,189,538,.351,339,526,.644,310,1056,436,158,119,369,475
216,Pepperdine NCAA,34,25,9,.735,13.11,3.35,12,2,,,,,2481,2149,,,929,2094,.444,237,688,.344,386,577,.669,420,1295,494,319,99,504,659
217,Pittsburgh,28,13,15,.464,3.98,4.41,5,11,,,,,1864,1876,,,688,1604,.429,174,543,.320,314,504,.623,383,1045,459,215,60,465,447
218,Portland State,29,15,14,.517,-0.39,-0.09,7,9,,,,,2158,2099,,,737,1613,.457,184,550,.335,500,745,.671,351,1012,457,222,67,474,638
219,Portland,28,10,18,.357,-3.84,1.92,4,10,,,,,1789,1851,,,641,1544,.415,137,452,.303,370,566,.654,331,953,389,186,104,390,502
220,Prairie View,27,7,20,.259,-22.06,-11.14,5,13,,,,,2121,2303,,,773,1878,.412,174,596,.292,401,639,.628,445,1189,315,253,134,572,609
221,Princeton,30,19,11,.633,3.00,-2.93,11,3,,,,,1850,1637,,,652,1417,.460,245,667,.367,301,446,.675,198,894,505,238,146,387,474
222,Providence,30,11,19,.367,1.04,5.29,4,12,,,,,1925,1988,,1210,728,1822,.400,136,448,.304,333,532,.626,461,1141,383,245,141,532,628
223,Purdue NCAA,34,24,10,.706,16.87,9.56,12,4,,,,,2505,2246,,,849,1914,.444,206,589,.350,601,879,.684,473,1225,482,261,104,505,597
224,Quinnipiac,28,18,10,.643,-10.09,-9.20,12,6,,,,,2059,2068,,,739,1598,.462,132,372,.355,449,654,.687,322,1009,466,220,105,520,627
225,Radford,28,18,10,.643,-5.99,-7.92,12,2,,,,,2057,1975,,,709,1640,.432,211,594,.355,428,628,.682,350,991,372,257,117,543,543
226,Rhode Island,30,5,25,.167,-8.54,5.73,2,14,,,,,1869,2297,,,673,1662,.405,128,390,.328,395,632,.625,356,1044,331,209,111,541,539
227,Rice,27,5,22,.185,-9.42,3.26,1,13,,,,,1554,1836,,,536,1430,.375,123,419,.294,359,518,.693,353,1019,310,152,70,511,558
228,Richmond,30,18,12,.600,2.42,-1.55,11,5,,,,,2011,1892,,,729,1615,.451,220,600,.367,333,478,.697,313,986,448,199,155,407,472
229,Rider,30,16,14,.533,-6.60,-6.70,8,10,,,,,2116,2113,,,724,1614,.449,190,531,.358,478,699,.684,337,1001,432,256,105,485,600
230,Robert Morris,30,18,12,.600,-5.80,-7.80,13,5,,,,,2123,2010,,,766,1714,.447,143,437,.327,448,641,.699,314,1069,470,241,56,419,524
231,Rutgers,31,15,16,.484,6.62,4.40,6,10,,,,,2175,2106,,,743,1679,.443,182,488,.373,507,777,.653,390,1110,455,224,107,475,610
232,Sacramento State,27,9,18,.333,-7.38,0.55,3,13,,,,,1676,1854,,,616,1548,.398,147,467,.315,297,442,.672,316,943,320,240,95,,
233,Sacred Heart,28,3,25,.107,-23.24,-6.77,2,16,,,,,1853,2315,,,683,1610,.424,145,444,.327,342,544,.629,338,999,393,200,86,550,493
234,Saint Francis (PA),28,10,18,.357,-11.68,-8.14,7,11,,,,,1805,1904,,,648,1541,.421,187,518,.361,322,456,.706,309,904,403,171,60,361,453
235,Saint Joseph's,29,13,16,.448,5.45,5.72,7,9,,,,,2043,2051,,,699,1671,.418,216,612,.353,429,602,.713,388,1166,443,154,77,,
236,Saint Louis NCAA,33,19,14,.576,9.00,8.39,7,9,,,,,2124,2104,,,729,1696,.430,146,432,.338,520,758,.686,394,1164,401,254,126,586,665
237,Saint Mary's (CA),28,8,20,.286,-7.40,2.19,3,11,,,,,1701,1942,,,597,1594,.375,191,563,.339,316,475,.665,362,1119,352,163,98,,
238,Saint Peter's,28,5,23,.179,-14.31,-5.31,2,16,,,,,1958,2210,,,739,1675,.441,70,274,.255,410,552,.743,345,968,420,200,87,454,559
239,Sam Houston State,29,22,7,.759,-0.74,-5.44,15,3,,,,,2130,1968,,,750,1612,.465,175,499,.351,455,690,.659,354,1120,495,293,73,508,597
240,Samford NCAA,32,21,11,.656,3.20,-5.80,12,6,,,,,2323,1998,,,825,1649,.500,313,804,.389,360,515,.699,267,996,543,230,102,438,532
241,San Diego State,28,5,23,.179,-9.09,4.54,0,14,,,,,1745,2097,,,619,1513,.409,120,401,.299,387,569,.680,291,884,376,202,64,494,548
242,San Diego,29,20,9,.690,7.30,0.45,10,4,,,,,2049,1815,,,673,1538,.438,181,502,.361,522,767,.681,370,1135,380,181,69,456,543
243,San Francisco,28,19,9,.679,6.22,0.67,7,7,,,,,2004,1811,,,682,1521,.448,156,431,.362,484,703,.688,366,1087,417,216,109,473,539
244,San Jose State,30,15,15,.500,0.98,3.79,6,8,,,,,1797,1792,,,666,1595,.418,131,406,.323,334,572,.584,390,1097,318,138,87,410,531
245,Santa Clara,31,19,12,.613,3.72,3.52,9,5,,,,,2049,2026,,,703,1765,.398,181,560,.323,462,663,.697,380,1158,417,217,70,413,626
246,Seton Hall NCAA,32,22,10,.688,10.64,5.11,10,6,,,,,2295,2118,,,807,1865,.433,250,685,.365,431,636,.678,431,1211,458,225,198,476,551
247,Siena,33,24,9,.727,1.23,-4.62,15,3,,,,,2862,2669,,,961,2166,.444,283,721,.393,657,876,.750,495,1338,585,297,117,590,790
248,South Alabama,30,20,10,.667,0.41,-3.15,13,3,,,,,2083,1976,,,731,1561,.468,166,442,.376,455,688,.661,342,969,443,247,52,488,561
249,South Carolina State NCAA,34,20,14,.588,-10.41,-9.38,14,5,,,,,2386,2421,,,829,2117,.392,213,638,.334,515,765,.673,590,1393,370,237,138,485,485
250,South Carolina,32,15,17,.469,9.97,8.78,5,11,,,,,2190,2152,,,796,1821,.437,238,668,.356,358,584,.613,423,1096,446,269,109,472,533
251,South Florida,31,17,14,.548,8.70,3.92,8,8,,,,,2393,2245,,,860,1878,.458,208,572,.364,465,726,.640,404,1294,529,321,122,541,619
252,Southeast Missouri State NCAA,31,24,7,.774,4.42,-2.48,14,4,,,,,2154,1911,,,748,1680,.445,193,558,.346,465,662,.702,346,1140,383,188,164,478,542
253,Southeastern Louisiana,27,10,17,.370,-13.00,-5.16,5,13,,,,,1606,1769,,,556,1362,.408,171,505,.339,323,478,.676,303,901,314,212,56,,
254,Southern California,30,16,14,.533,14.17,8.77,9,9,,,,,2342,2180,,,842,1840,.458,190,521,.365,468,672,.696,402,1092,518,275,120,458,538
255,Southern Illinois,33,20,13,.606,7.64,4.28,12,6,,,,,2346,2239,,1325,806,1915,.421,215,623,.345,519,784,.662,438,1251,512,234,66,532,659
256,Southern Methodist,30,21,9,.700,7.70,1.39,9,5,,,,,2318,2094,,,807,1978,.408,192,637,.301,512,790,.648,547,1298,418,278,107,377,520
257,Southern Mississippi,29,17,12,.586,5.51,4.20,7,9,,,,,1921,1883,,,654,1550,.422,141,417,.338,472,673,.701,353,1051,323,197,149,494,541
258,Southern Utah,29,16,13,.552,-3.14,-3.99,10,6,,,,,2112,2067,,,733,1647,.445,219,598,.366,427,604,.707,324,900,436,354,83,459,625
259,Southern,29,18,11,.621,-14.26,-14.41,14,4,,,,,2163,2117,,,749,1727,.434,146,414,.353,519,817,.635,413,1064,297,294,80,610,612
260,St. Bonaventure NCAA,31,21,10,.677,9.45,5.29,11,5,,,,,2136,2007,,,767,1716,.447,177,512,.346,425,643,.661,431,1131,386,257,87,488,560
261,St. Francis (NY),30,18,12,.600,-6.12,-7.98,12,6,,,,,2325,2249,,,822,1879,.437,255,733,.348,426,610,.698,379,1091,470,252,94,466,658
262,St. John's (NY) NCAA,33,25,8,.758,14.26,6.96,12,4,,,,,2043,2192,,,699,1671,.418,216,612,.353,429,602,.713,431,1133,443,352,89,399,531
263,Stanford NCAA,31,27,4,.871,25.65,7.12,15,3,,,,,2447,1850,,,819,1750,.468,245,613,.400,564,794,.710,399,1309,539,141,167,450,518
264,Stephen F. Austin,27,6,21,.222,-12.81,-4.97,3,15,,,,,1834,1982,,,653,1488,.439,172,519,.331,356,536,.664,295,872,379,239,94,490,581
265,Stetson,28,13,15,.464,-11.94,-8.23,8,10,,,,,1912,1985,,,695,1664,.418,112,342,.327,410,634,.647,470,1129,351,175,77,397,544
266,Stony Brook,29,6,23,.207,-17.20,-2.39,,,,,,,1648,2069,,,568,1480,.384,182,544,.335,331,515,.643,293,902,320,212,62,530,525
267,Syracuse NCAA,32,26,6,.813,17.67,6.20,13,3,,,,,2400,2033,,,876,1869,.469,171,483,.354,477,677,.705,440,1199,564,286,167,448,506
268,Temple NCAA,33,27,6,.818,20.64,6.94,14,2,,,,,2260,1808,,,790,1913,.413,274,787,.348,406,619,.656,497,1287,471,312,140,324,459
269,Tennessee-Martin,29,10,19,.345,-8.09,-0.02,7,11,,,,,1979,2169,,,704,1697,.415,123,406,.303,448,629,.712,426,1019,376,271,45,522,594
270,Tennessee State,29,7,22,.241,-13.72,-2.23,6,12,,,,,1964,2297,,,658,1713,.384,212,694,.305,436,624,.699,369,1004,331,203,62,448,556
271,Tennessee Tech,28,16,12,.571,0.02,-3.64,11,7,,,,,2279,2068,,,734,1654,.444,279,757,.369,532,693,.768,394,1025,447,214,58,375,555
272,Tennessee NCAA,33,26,7,.788,18.94,8.12,12,4,,,,,2629,2239,,1335,909,2019,.450,266,736,.361,545,798,.683,480,1314,481,290,193,520,618
273,Texas A&M,28,8,20,.286,-3.85,5.47,4,12,,,,,1825,2086,,,644,1565,.412,179,562,.319,358,534,.670,365,996,394,205,54,475,528
274,Texas-Arlington,27,15,12,.556,-4.70,-5.86,11,7,,,,,2106,2049,,,757,1818,.416,247,725,.341,345,516,.669,400,995,250,271,47,495,446
275,Texas Christian,32,18,14,.563,5.90,2.81,8,6,,,,,2813,2691,,,966,2135,.452,260,685,.380,621,812,.765,479,1273,609,293,204,492,632
276,Texas-El Paso,28,13,15,.464,5.95,3.23,4,10,,,,,2158,2082,,,768,1601,.480,159,439,.362,463,673,.688,327,984,455,199,87,413,678
277,Texas-Rio Grande Valley,28,12,16,.429,-8.28,-0.19,,,,,,,2016,2168,,,706,1582,.446,191,529,.361,413,582,.710,312,928,371,249,67,515,601
278,Texas-San Antonio,28,15,13,.536,-4.38,-4.59,12,6,,,,,2149,2102,,,759,1753,.433,188,568,.331,443,740,.599,521,1240,449,243,114,514,546
279,Texas Southern,29,15,14,.517,-12.65,-13.45,10,8,,,,,2131,2078,,,760,1750,.434,177,562,.315,434,638,.680,415,1139,332,266,51,500,533
280,Texas State,29,12,17,.414,-7.49,-5.52,8,10,,,,,1989,1992,,,688,1574,.437,168,439,.383,445,661,.673,343,1070,404,162,28,406,566
281,Texas Tech,28,12,16,.429,3.32,5.69,3,13,,,,,1969,2020,,,689,1565,.440,161,475,.339,430,593,.725,293,1004,370,172,137,418,460
282,Texas NCAA,33,24,9,.727,20.43,9.61,13,3,,,,,2460,2103,,,876,1870,.468,185,489,.378,523,810,.646,431,1296,481,244,168,515,594
283,Toledo,31,18,13,.581,4.69,2.56,11,7,,,,,2197,2131,,,757,1746,.434,225,646,.348,458,669,.685,404,1191,409,202,66,529,602
284,Towson,28,11,17,.393,-10.38,-9.10,7,11,,,,,1901,1937,,,668,1525,.438,179,482,.371,386,561,.688,301,943,397,220,82,480,520
285,Troy,28,17,11,.607,-5.94,-8.61,13,5,,,,,2080,1979,,,710,1567,.453,253,625,.405,407,544,.748,288,973,332,157,82,349,457
286,Tulane,31,20,11,.645,5.79,3.54,8,8,,,,,2102,2032,,,765,1772,.432,124,396,.313,448,739,.606,436,1155,431,298,100,502,609
287,Tulsa NCAA,37,32,5,.865,19.94,2.42,12,2,,,,,2974,2326,,,1050,2223,.472,264,764,.346,610,865,.705,480,1390,631,433,175,571,730
288,UCLA NCAA,33,21,12,.636,15.29,10.11,10,8,,,,,2492,2321,,,952,1984,.480,205,552,.371,383,652,.587,447,1252,545,282,145,549,626
289,Utah State NCAA,34,28,6,.824,8.83,1.89,16,0,,,,,2397,2080,,,879,1888,.466,194,536,.362,445,709,.628,415,1233,487,235,126,453,580
290,Utah NCAA,32,23,9,.719,12.23,4.36,10,4,,,,,2252,1979,,,782,1624,.482,222,574,.387,466,648,.719,326,1077,496,198,89,462,586
291,Valparaiso NCAA,32,19,13,.594,-2.89,-3.71,10,6,,,,,2128,2006,,,758,1702,.445,228,619,.368,384,590,.651,399,1172,459,236,120,535,556
292,Vanderbilt,30,19,11,.633,12.64,7.54,8,8,,,,,2243,2090,,,782,1710,.457,222,607,.366,457,624,.732,314,1014,457,214,63,442,543
293,Vermont,28,16,12,.571,-9.79,-8.25,11,7,,,,,2005,2048,,,727,1741,.418,172,490,.351,379,591,.641,401,1078,388,200,103,377,504
294,Villanova,33,20,13,.606,7.62,6.74,8,8,,,,,2308,2279,,,811,1909,.425,207,607,.341,479,679,.705,441,1264,516,243,162,544,565
295,Virginia Commonwealth,28,14,14,.500,-4.87,-1.80,7,9,,,,,1957,2043,,,707,1729,.409,150,514,.292,393,598,.657,420,1117,369,220,151,485,527
296,VMI,29,6,23,.207,-14.90,-2.70,1,15,,,,,2064,2247,,,747,1846,.405,171,566,.302,399,644,.620,404,1081,383,279,97,544,616
297,Virginia Tech,31,16,15,.516,3.00,2.45,8,8,,,,,1997,1980,,,720,1647,.437,126,422,.299,431,655,.658,377,1082,383,230,155,507,582
298,Virginia,31,19,12,.613,12.29,6.22,9,7,,,,,2526,2338,,,879,1950,.451,211,646,.327,557,822,.678,393,1125,440,272,95,484,659
299,Wagner,27,11,16,.407,-9.07,-9.72,6,12,,,,,2097,2040,,,778,1847,.421,208,597,.348,333,465,.716,370,957,464,309,55,445,551
300,Wake Forest,36,22,14,.611,14.20,8.95,7,9,,,,,2512,2323,,,911,2100,.434,159,515,.309,531,788,.674,517,1379,479,218,146,499,641
301,Washington State,28,6,22,.214,-1.91,7.66,1,17,,,,,1778,2046,,,613,1482,.414,171,464,.369,381,543,.702,331,879,301,180,68,497,590
302,Washington,30,10,20,.333,2.46,9.98,5,13,,,,,1981,2183,,,728,1767,.412,160,468,.342,365,551,.662,359,1053,399,200,116,498,569
303,Weber State,28,18,10,.643,1.98,0.46,10,6,,,,,2165,2056,,,724,1569,.461,177,491,.360,540,718,.752,281,984,434,201,66,537,537
304,West Virginia,28,14,14,.500,3.65,5.00,6,10,,,,,1974,2012,,,736,1634,.450,152,460,.330,350,536,.653,391,1046,433,203,123,471,504
305,Western Carolina,28,14,14,.500,-10.42,-4.94,7,9,,,,,2153,2248,,,813,1797,.452,167,520,.321,360,518,.695,368,1021,446,242,69,449,535
306,Western Illinois,30,8,22,.267,-9.75,-2.68,3,13,,,,,1975,2123,,,716,1640,.437,210,567,.370,333,488,.682,372,1062,482,201,49,556,534
307,Western Kentucky,29,11,18,.379,-4.00,-1.45,8,8,,,,,1995,2069,,,728,1642,.443,169,499,.339,370,558,.663,369,1112,384,153,119,528,578
308,Western Michigan,28,10,18,.357,-3.38,1.87,6,12,,,,,2044,2191,,,715,1682,.425,159,503,.316,455,668,.681,361,1003,360,194,70,440,636
309,Wichita State,29,12,17,.414,0.56,1.92,5,13,,,,,1925,1954,,,648,1593,.407,190,591,.321,439,621,.707,369,1014,407,241,58,453,680
310,William & Mary,28,11,17,.393,-5.55,-0.92,6,10,,,,,1922,1994,,,678,1593,.426,188,537,.350,378,535,.707,310,990,394,163,122,431,527
311,Winthrop NCAA,30,21,9,.700,-1.04,-7.41,11,3,,,,,2193,1941,,,733,1719,.426,251,702,.358,476,717,.664,394,1171,406,215,104,474,584
312,Wisconsin NCAA,36,22,14,.611,16.67,12.50,8,8,,,,,2157,2007,,,765,1793,.427,207,602,.344,420,617,.681,298,1107,478,236,102,408,658
313,Wofford,30,14,16,.467,-7.64,-2.89,8,8,,,,,2078,2184,,,721,1756,.411,214,634,.338,422,623,.677,370,1060,383,184,91,389,555
314,Wright State,28,11,17,.393,-5.22,-0.15,6,8,,,,,1717,1859,,,567,1309,.433,139,419,.332,444,603,.736,244,881,328,171,53,480,508
315,Wyoming,31,19,12,.613,6.88,2.84,8,6,,,,,2567,2401,,,916,2085,.439,222,635,.350,513,727,.706,450,1260,501,249,102,441,612
316,Xavier,33,21,12,.636,9.36,3.42,9,7,,,,,2481,2285,,,856,1979,.433,220,627,.351,549,773,.710,509,1260,474,261,118,540,599
317,Yale,27,7,20,.259,-15.73,-8.47,5,9,,,,,1585,1781,,,563,1436,.392,103,372,.277,356,530,.672,327,963,267,160,83,439,512
318,Youngstown State,28,12,16,.429,-8.07,-3.66,9,7,,,,,1876,1974,,,696,1593,.437,154,479,.322,330,484,.682,316,1039,410,198,94,29,622
