Season,TeamID
2019,1437
2019,1345
2019,1403
2019,1455
2019,1452
2019,1196
2019,1116
2019,1439
2019,1104
2019,1139
2019,1382
2019,1417
2019,1293
2019,1267
2019,1372
2019,1168
2019,1254
2019,1347
2019,1242
2019,1181
2019,1277
2019,1120
2019,1155
2019,1395
2019,1348
2019,1371
2019,1301
2019,1328
2019,1113
2019,1393
2019,1308
2019,1158
2019,1137
2019,1233
2019,1335
2019,1438
2019,1153
2019,1397
2019,1112
2019,1246
2019,1274
2019,1305
2019,1166
2019,1243
2019,1400
2019,1260
2019,1172
2019,1138
2019,1460
2019,1209
2019,1420
2019,1462
2019,1314
2019,1276
2019,1211
2019,1326
2019,1222
2019,1401
2019,1281
2019,1199
2019,1344
2019,1361
2019,1355
2019,1422
2019,1285
2019,1252
2019,1300
2019,1411
